country_region,province_state,date,confirmed,deaths,recovered,admin2
Malaysia,,2020-01-23,,,,
Colombia,,2020-01-23,,,,
Malaysia,,2020-01-25,3,,,
Malaysia,,2020-01-26,4,,,
Malaysia,,2020-01-27,4,,,
Malaysia,,2020-01-28,4,,,
Malaysia,,2020-01-29,7,,,
Malaysia,,2020-01-30,8,,,
Malaysia,,2020-01-31,8,,,
Malaysia,,2020-02-01,8,0,0,
Malaysia,,2020-02-02,8,0,0,
Malaysia,,2020-02-03,8,0,0,
Malaysia,,2020-02-04,10,0,0,
Malaysia,,2020-02-05,12,0,0,
Malaysia,,2020-02-06,12,0,0,
Malaysia,,2020-02-07,12,0,1,
Malaysia,,2020-02-08,16,0,1,
Malaysia,,2020-02-09,16,0,1,
Malaysia,,2020-02-10,18,0,1,
Malaysia,,2020-02-11,18,0,3,
Malaysia,,2020-02-12,18,0,3,
Malaysia,,2020-02-13,19,0,3,
Malaysia,,2020-02-14,19,0,3,
Malaysia,,2020-02-15,22,0,7,
Malaysia,,2020-02-16,22,0,7,
Malaysia,,2020-02-17,22,0,7,
Malaysia,,2020-02-18,22,0,13,
Malaysia,,2020-02-19,22,0,15,
Malaysia,,2020-02-20,22,0,15,
Malaysia,,2020-02-21,22,0,15,
Malaysia,,2020-02-22,22,0,15,
Malaysia,,2020-02-23,22,0,15,
Malaysia,,2020-02-24,22,0,18,
Malaysia,,2020-02-25,22,0,18,
Malaysia,,2020-02-26,22,0,18,
Malaysia,,2020-02-27,23,0,18,
Malaysia,,2020-02-28,23,0,18,
Malaysia,,2020-02-29,25,0,18,
Malaysia,,2020-03-01,29,0,18,
Malaysia,,2020-03-02,29,0,18,
Indonesia,,2020-03-02,2,0,0,
Malaysia,,2020-03-03,36,0,22,
Indonesia,,2020-03-03,2,0,0,
Malaysia,,2020-03-04,50,0,22,
Indonesia,,2020-03-04,2,0,0,
Malaysia,,2020-03-05,50,0,22,
Indonesia,,2020-03-05,2,0,0,
Malaysia,,2020-03-06,83,0,22,
Indonesia,,2020-03-06,4,0,0,
Colombia,,2020-03-06,1,0,0,
Malaysia,,2020-03-07,93,0,23,
Indonesia,,2020-03-07,4,0,0,
Colombia,,2020-03-07,1,0,0,
Malaysia,,2020-03-08,99,0,24,
Indonesia,,2020-03-08,6,0,0,
Colombia,,2020-03-08,1,0,0,
Malaysia,,2020-03-09,117,0,24,
Indonesia,,2020-03-09,19,0,0,
Colombia,,2020-03-09,1,0,0,
Malaysia,,2020-03-10,129,0,24,
Indonesia,,2020-03-10,27,0,2,
Colombia,,2020-03-10,3,0,0,
Malaysia,,2020-03-11,149,0,26,
Indonesia,,2020-03-11,34,1,2,
Colombia,,2020-03-11,9,0,0,
Malaysia,,2020-03-12,149,0,26,
Indonesia,,2020-03-12,34,1,2,
Colombia,,2020-03-12,9,0,0,
Indonesia,,2020-03-13,69,4,2,
Ethiopia,,2020-03-13,1,0,0,
Malaysia,,2020-03-13,197,0,26,
Colombia,,2020-03-13,13,0,0,
Malaysia,,2020-03-14,238,0,35,
Indonesia,,2020-03-14,96,5,8,
Colombia,,2020-03-14,22,0,0,
Ethiopia,,2020-03-14,1,0,0,
Malaysia,,2020-03-15,428,0,42,
Indonesia,,2020-03-15,117,5,8,
Colombia,,2020-03-15,34,0,0,
Ethiopia,,2020-03-15,1,0,0,
Malaysia,,2020-03-16,566,0,42,
Indonesia,,2020-03-16,134,5,8,
Colombia,,2020-03-16,54,0,0,
Ethiopia,,2020-03-16,5,0,0,
Malaysia,,2020-03-17,673,2,49,
Indonesia,,2020-03-17,172,5,8,
Colombia,,2020-03-17,65,0,1,
Ethiopia,,2020-03-17,5,0,0,
Malaysia,,2020-03-18,790,2,60,
Indonesia,,2020-03-18,227,19,11,
Colombia,,2020-03-18,93,0,1,
Ethiopia,,2020-03-18,6,0,0,
Malaysia,,2020-03-19,900,2,75,
Indonesia,,2020-03-19,311,25,11,
Colombia,,2020-03-19,102,0,1,
Ethiopia,,2020-03-19,6,0,0,
Malaysia,,2020-03-20,1030,3,87,
Indonesia,,2020-03-20,369,32,15,
Colombia,,2020-03-20,128,0,1,
Ethiopia,,2020-03-20,9,0,0,
Malaysia,,2020-03-21,1183,4,114,
Indonesia,,2020-03-21,450,38,15,
Colombia,,2020-03-21,196,0,1,
Ethiopia,,2020-03-21,9,0,0,
Malaysia,,2020-03-22,1306,10,139,
Indonesia,,2020-03-22,514,48,29,
Colombia,,2020-03-22,231,2,3,
Ethiopia,,2020-03-22,11,0,0,
Colombia,,2020-03-23,277,3,3,
Ethiopia,,2020-03-23,11,0,0,
Indonesia,,2020-03-23,579,49,30,
Malaysia,,2020-03-23,1518,14,159,
Colombia,,2020-03-24,378,3,6,
Ethiopia,,2020-03-24,12,0,0,
Indonesia,,2020-03-24,686,55,30,
Malaysia,,2020-03-24,1624,16,183,
Colombia,,2020-03-25,470,4,8,
Ethiopia,,2020-03-25,12,0,0,
Indonesia,,2020-03-25,790,58,31,
Malaysia,,2020-03-25,1796,20,199,
Colombia,,2020-03-26,491,6,8,
Ethiopia,,2020-03-26,12,0,0,
Indonesia,,2020-03-26,893,78,35,
Malaysia,,2020-03-26,2031,23,215,
Colombia,,2020-03-27,539,6,10,
Ethiopia,,2020-03-27,16,0,0,
Indonesia,,2020-03-27,1046,87,46,
Malaysia,,2020-03-27,2161,26,259,
Colombia,,2020-03-28,608,6,10,
Ethiopia,,2020-03-28,16,0,1,
Indonesia,,2020-03-28,1155,102,59,
Malaysia,,2020-03-28,2320,27,320,
Colombia,,2020-03-29,702,10,10,
Ethiopia,,2020-03-29,21,0,1,
Indonesia,,2020-03-29,1285,114,64,
Malaysia,,2020-03-29,2470,35,388,
Colombia,,2020-03-30,798,12,15,
Ethiopia,,2020-03-30,23,0,4,
Indonesia,,2020-03-30,1414,122,75,
Malaysia,,2020-03-30,2626,37,479,
Colombia,,2020-03-31,906,16,31,
Ethiopia,,2020-03-31,26,0,2,
Indonesia,,2020-03-31,1528,136,81,
Malaysia,,2020-03-31,2766,43,537,
Colombia,,2020-04-01,1065,17,39,
Ethiopia,,2020-04-01,29,0,2,
Indonesia,,2020-04-01,1677,157,103,
Malaysia,,2020-04-01,2908,45,645,
Colombia,,2020-04-02,1161,19,55,
